"id","relid","year","type_of_violence","conflict_name","side_a","side_b","latitude","longitude","region","deaths_a","deaths_b","deaths_civilians","deaths_unknown"
13443,"SAF-1991-2-312-261",1991,2,"Supporters of ANC - Supporters of IFP","Supporters of ANC","Supporters of IFP",-30.741369,30.454992,"Africa",1,0,0,0
7004,"SUD-1997-2-329-1.2",1997,2,"SPLM/A - SSDF","SPLM/A","SSDF",8.116667,31.433333,"Africa",0,0,0,60
13452,"SAF-1991-2-312-311",1991,2,"Supporters of ANC - Supporters of IFP","Supporters of ANC","Supporters of IFP",-30.741369,30.454992,"Africa",1,0,0,0
13453,"SAF-1990-2-313-19",1990,2,"Supporters of IFP - Supporters of UDF","Supporters of IFP","Supporters of UDF",-29.616785,30.39278,"Africa",0,0,1,0
7015,"SUD-2006-2-143-5",2006,2,"SLM/A - SLM/A - MM","SLM/A","SLM/A - MM",14.166667,25.216667,"Africa",0,0,3,0
7084,"SUD-2002-2-131-1",2002,2,"PDF - SSDF","PDF","SSDF",4.85,31.616667,"Africa",0,0,0,38
13455,"SAF-1989-2-313-35",1989,2,"Supporters of IFP - Supporters of UDF","Supporters of IFP","Supporters of UDF",-29.812919,30.636458,"Africa",0,0,0,2
13456,"SAF-1990-2-313-51",1990,2,"Supporters of IFP - Supporters of UDF","Supporters of IFP","Supporters of UDF",-29.654529,30.350633,"Africa",0,1,0,0
13461,"SAF-1992-2-312-41",1992,2,"Supporters of ANC - Supporters of IFP","Supporters of ANC","Supporters of IFP",-29.026278,29.774451,"Africa",0,1,0,0
162165,"CEN-2014-2-11801-50",2014,2,"Christians (CAR) - Muslims (CAR)","Christians (CAR)","Muslims (CAR)",4.366667,18.583333,"Africa",0,0,0,0
13462,"SAF-1992-2-312-470",1992,2,"Supporters of ANC - Supporters of IFP","Supporters of ANC","Supporters of IFP",-30.025295,30.861297,"Africa",0,0,1,0
162105,"CEN-2014-2-11801-40",2014,2,"Christians (CAR) - Muslims (CAR)","Christians (CAR)","Muslims (CAR)",4.73558,17.14047,"Africa",0,0,0,10
162033,"GUA-2014-2-461-6",2014,2,"Jalisco Cartel New Generation - Los Zetas","Jalisco Cartel New Generation","Los Zetas",18.25404,-96.396,"Americas",0,0,0,6
162059,"MEX-2014-2-14336-8",2014,2,"Sinaloa Cartel - Los Chavez Matamoros faction - Sinaloa Cartel - Los Salgueiro faction","Sinaloa Cartel - Los Chavez Matamoros faction","Sinaloa Cartel - Los Salgueiro faction",26.1318,-106.6905,"Americas",0,0,0,3
